;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
;31313767;17386833;8313121;;;29320369;14713253;7929891;;;30541447;15484758;9039901;;;;;;
;30404159;15779440;8319349;;;29608918;15432235;8349343;;;30299233;15419062;9275563;;;;;;
;30242382;16984884;9228576;;;29916754;15127565;7774028;;;29978842;15342776;8885877;;;;;;
;31135278;16058233;8438870;;;30299791;14874964;8178669;;;29944478;15248385;9441373;;;;;;
;30267404;15994508;8653342;;;29636690;15518981;7666037;;;30748816;15197884;8964678;;;;;;
;30505696;16350427;9438052;;;30046232;15306026;8108330;;;30628573;15077720;8152065;;;;;;
;31469032;16247800;8690652;;;29559214;15024376;7522995;;;30589808;15050908;8941315;;;;;;
;30554157;16350885;8851600;;;30206413;14669288;7944645;;;30436036;15047018;9564400;;;;;;
;30494878;16703937;9001623;;;29614183;15341108;8392697;;;30482623;15081234;9847650;;;;;;
;30243543;13346433;8754534;;;30123432;15437654;7543434;;;30342345;15467434;8753457;;;;;;
Promedio;30877315,23;16373141,29;8867309;;Promedio;29900660,03;15182211,58;7900311,355;;Promedio;30353437,87;15420935,32;9173423,387;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
2400;38466820;20433303;10517691;;2400;38559293;20267549;10072750;;2400;39825061;20123150;12006561;;;;;;
;40388092;20973912;11072298;;;38809492;19323601;9780126;;;39794230;19941984;11105252;;;;;;
;41261981;20473539;10440041;;;39047838;19429312;10606842;;;39902903;19578327;11002202;;;;;;
;39854980;20292121;10805718;;;38182492;19583395;10291631;;;39919584;20006481;12597875;;;;;;
;39377572;20879865;12015467;;;38498727;19897499;10006211;;;39847753;19459452;11455131;;;;;;
;41744922;21181626;10422093;;;38633118;20050879;9685279;;;39794395;19903153;11210943;;;;;;
;40384263;21606402;11371256;;;38987276;19184616;10317759;;;39836577;20249827;11360498;;;;;;
;38260683;21508783;10755931;;;38230393;19341909;10020070;;;40014783;19675352;11367613;;;;;;
;38553337;21129631;11270351;;;38413034;19483252;9697708;;;39262088;20178191;12387996;;;;;;
;39815745;20875555;10667174;;;38603619;19652267;10357082;;;39228159;19576204;11557138;;;;;;
;39849157;20624407;11004446;;;38900929;19936142;10016249;;;39346475;20020842;11586529;;;;;;
;40133711;22716299;10430840;;;39203261;20110029;9677721;;;39371078;19567923;11448919;;;;;;
;40714019;20505994;10942639;;;38266378;19268460;10356706;;;39294067;20138438;11706939;;;;;;
;40387625;21010068;11351133;;;38586063;19396720;10031764;;;39425724;19575496;12254985;;;;;;
;39303932;22072601;11363299;;;39539696;19526884;9712026;;;39313794;19915883;11377879;;;;;;
;38163667;20717331;10743077;;;39179987;19635016;10486346;;;39094693;20228486;11580551;;;;;;
;38871866;21371518;11136669;;;38545728;19833573;10286580;;;39110827;19749161;11761651;;;;;;
;40387812;21896283;10698648;;;38770735;19992010;9978030;;;38990097;20100662;11997193;;;;;;
;38943204;20704841;11139850;;;38973597;19144168;9644160;;;38982259;19631034;10921502;;;;;;
;39502127;21819660;10505756;;;38051029;19432840;10250623;;;39428390;20044195;11758953;;;;;;
;41569382;22115336;10890757;;;38174953;19619045;9930563;;;39794321;19399194;11664782;;;;;;
;40038209;21099529;11377194;;;38366933;19791608;10601344;;;40058542;19883353;11689704;;;;;;
;37869558;20510863;11441751;;;38384631;19999624;10305321;;;39482452;20350283;12035328;;;;;;
;39466028;20373905;10795693;;;38394797;19181472;10024239;;;39962429;19947869;11359785;;;;;;
;40308519;20148644;11203681;;;38622370;19442019;9706310;;;39183530;20839643;11318649;;;;;;
;40652507;19974369;10546479;;;39041419;19642246;10365192;;;39626701;20429497;10996993;;;;;;
;40042644;19814971;10912933;;;38302937;19820673;9997233;;;40232884;20113892;10947984;;;;;;
;39943884;20665839;11850644;;;38490895;19986043;9675545;;;39572228;19618924;11592456;;;;;;
;41125840;20426489;11684638;;;38803892;19128380;10351332;;;39890409;20077678;11976486;;;;;;
;39233029;20155641;11333804;;;38932141;19391350;10090294;;;40419788;19453652;11114002;;;;;;
;42323464;20356543;13441123;;;38834911;19342123;9764543;;;34633534;23003421;11345223;;;;;;
Promedio;39901244,48;20917286,06;11101066,9;;Promedio;38655889,16;19607571,1;10067341,26;;Promedio;39439992,1;20025214,42;11564119,42;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
2600;49242141;25993194;13591371;;2600;49046721;25060791;13144747;;2600;49363501;24817411;14801947;;;;;;
;49666258;26479965;14314194;;;48918410;24701560;12513228;;;49485028;25430586;15682906;;;;;;
;49558290;26402839;13534825;;;49833969;25310584;12803639;;;49640341;24963768;14496285;;;;;;
;51511072;25595363;13596120;;;49402632;24752046;13096198;;;49876784;24456867;15238468;;;;;;
;50613675;26707839;14183762;;;49128785;25113716;12406835;;;50011546;25058962;14987935;;;;;;
;51881020;26871619;13611609;;;49024718;24544003;12700884;;;49219403;24596437;14245036;;;;;;
;49873002;27214662;13746575;;;49038889;24940206;13050224;;;49475241;25090325;14398218;;;;;;
;49523092;27121386;13661188;;;49559721;24435716;12355680;;;49835214;24624993;14556348;;;;;;
;49256814;25154104;13649115;;;49389779;24895921;12576671;;;49894248;25105201;15248529;;;;;;
;51146315;25139584;13706081;;;49431114;25301628;12850096;;;50145617;24665326;15114804;;;;;;
;51269215;25164992;13668982;;;49359275;24695221;13159875;;;49350293;25080677;14158618;;;;;;
;50996270;26607510;13671750;;;48970820;25132929;12488490;;;49357280;24635353;14079342;;;;;;
;51734198;26493368;13847854;;;49060839;24643076;12781321;;;49613140;25222554;13693469;;;;;;
;49633574;27809761;14740127;;;48795928;25085380;13093395;;;49753651;24709822;14950028;;;;;;
;49564374;26921677;13969976;;;49464005;24496318;12381915;;;49860309;25220214;13958424;;;;;;
;50399190;26086562;13899517;;;49443882;25056703;12804329;;;50022939;24718043;13754579;;;;;;
;49209387;25218638;13854113;;;49436463;24438673;13175043;;;49169371;25178257;14984072;;;;;;
;49532057;27180655;14544615;;;49281343;24742821;12499918;;;49401644;24665544;14907330;;;;;;
;50708935;26093510;13772114;;;49098882;25249111;12904455;;;49243589;25098245;14621880;;;;;;
;50963972;26609281;14658813;;;48814017;24583971;13357704;;;48919278;24876519;15106501;;;;;;
;50919047;25704985;14196417;;;49616332;25093016;12690303;;;49641460;25424971;13872486;;;;;;
;50058816;27265386;13141145;;;49273151;24439843;13004078;;;49498485;24901491;15303505;;;;;;
;50604920;24959749;13853195;;;48967620;24800984;12253311;;;49406842;25448936;14231179;;;;;;
;50636217;25878858;13895738;;;48708201;25311791;12561812;;;49095710;24951094;14409134;;;;;;
;49660343;27907037;13912388;;;49314736;24694365;12889162;;;49081968;24446610;14301558;;;;;;
;50031217;25925387;13891497;;;48854005;25133490;13155417;;;49046224;24970247;14472677;;;;;;
;51043194;26616330;14782006;;;49437332;24507135;12493918;;;48960128;24505600;15584292;;;;;;
;51976093;26274333;13878316;;;49064187;25181196;12777548;;;49796050;25125392;14857782;;;;;;
;50934215;25609519;14361093;;;48555616;25084521;13084353;;;50299795;24698293;14915403;;;;;;
;50091474;26225833;14297911;;;49239968;24823405;12350948;;;49281886;25257759;14975868;;;;;;
;50033542;26354321;14253342;;;49726532;25465432;12334562;;;49514321;24354232;14984232;;;;;;
Promedio;50395868,68;26309298,29;13957604,81;;Promedio;49201866,84;24894050,06;12765808,35;;Promedio;49524557,61;24912894,48;14673962,42;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
2800;61413413;31654745;16629870;;2800;61278893;30904966;16088760;;2800;61114346;30718296;18256971;;;;;;
;62434202;33939283;17403501;;;61003138;30747839;15447393;;;61230148;31327331;17792267;;;;;;
;63255475;31905845;17032607;;;60929497;31810686;15778086;;;61478512;30905531;18396870;;;;;;
;63700866;32753589;16984679;;;61763902;31920752;16418368;;;62133231;31482548;19397250;;;;;;
;62379495;32533810;15997762;;;61616239;31628401;15854788;;;61713567;31206409;17877777;;;;;;
;62326699;32847784;15875442;;;61706190;31163408;16602198;;;61893483;30938033;18234467;;;;;;
;61349305;32721599;16892216;;;61492214;30706695;16286181;;;62260685;30874533;17835919;;;;;;
;62523889;32574298;16887773;;;61286876;31286680;16044679;;;61696494;31607961;18506509;;;;;;
;61459767;33245627;17682262;;;61247750;30802175;15746550;;;62942666;30993463;18075832;;;;;;
;62315628;31884642;17251779;;;61180588;31272842;16141870;;;61351711;30644885;17048476;;;;;;
;61545494;32758110;16205413;;;61469167;30890589;15513939;;;61401000;31114208;17320966;;;;;;
;64368902;31820769;16231087;;;61826511;31553305;15895322;;;61604027;30776956;17555873;;;;;;
;62657786;35022248;16979845;;;62068006;31144728;16330666;;;62321406;31265086;18596629;;;;;;
;63928761;31367481;16853276;;;61254850;30690206;15726469;;;61758451;30854171;17989057;;;;;;
;61903999;31975311;17617533;;;61496394;31259057;16083938;;;62294948;31488978;17715663;;;;;;
;63658815;32488443;16529402;;;61658724;31009953;15439285;;;61818538;31887497;18254095;;;;;;
;61612436;32355973;16397631;;;61690145;30936270;15799432;;;62245784;32068745;18153201;;;;;;
;63242249;32853490;17377534;;;61705750;30811485;16223924;;;61895137;30928119;17855367;;;;;;
;62958968;33037715;16331582;;;61630230;31474401;15625461;;;62448760;31556079;19513967;;;;;;
;62536004;32245397;16225813;;;61983618;31014524;15976270;;;61235823;31193400;18318649;;;;;;
;64291282;31999839;16216547;;;61718167;30648116;15424190;;;61104913;30684227;19361279;;;;;;
;61302212;31025964;16189413;;;61505774;31144840;15776716;;;61301438;31171673;18657043;;;;;;
;61266447;32560885;16151824;;;62198798;30769905;16166034;;;61331408;30734604;18768355;;;;;;
;63936711;31999708;16639885;;;61609440;31302116;15535174;;;61195759;31395118;18045558;;;;;;
;63598856;31891852;16670807;;;61524016;30828422;15960194;;;61389307;30949014;17423720;;;;;;
;62118970;32777681;16615525;;;61685888;31395935;15319886;;;61623714;30504284;18039469;;;;;;
;61894785;32562250;16535874;;;61659825;31030366;15747209;;;61837590;31085898;17853938;;;;;;
;63007016;31653252;16456393;;;61452665;30637811;16327796;;;62024963;30697087;18307696;;;;;;
;63495561;32310710;16501416;;;61309792;31190786;15970800;;;60931709;31191078;17866382;;;;;;
;64708312;32392094;16883167;;;61276235;30715881;15446657;;;62049088;30921897;18252511;;;;;;
;64256732;32254421;16466575;;;64532341;35654323;15342632;;;61334403;31240333;17265432;;;;;;
Promedio;62756420,55;32432735,97;16668207,52;;Promedio;61637471,71;31237014,94;15872286,03;;Promedio;61708484,16;31109917,48;18146360,9;;;;;;
