;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
;3098404;2186690;1167618;;;3160712;1691242;1483628;;;3274591;2073633;1968082;;;;;;
;4326532;2154422;1123453;;;3134233;1235432;1234543;;;3567321;1234454;1356525;;;;;;
Promedio;3893564,774;2294910,935;1333581,645;;Promedio;3187352,968;1842806,71;1181081,387;;Promedio;3204889,935;1816468,903;1313901,806;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1200;5473983;3068117;2257977;;1200;5101882;3261233;1749304;;1200;5724698;2824519;1977497;;;;;;
;5153078;3162310;1809604;;;4705424;2614895;1957486;;;5430163;3171278;2174073;;;;;;
;4822188;3241302;2352065;;;5313294;2945380;2185987;;;5104379;2511821;1869956;;;;;;
;6271380;3161651;1897840;;;4912966;3272087;1429637;;;4804459;2891081;2272773;;;;;;
;5968546;3244470;2448246;;;5516458;2647478;1644086;;;5431103;3291400;1491159;;;;;;
;5654372;3354251;2003479;;;5123113;2998417;1874776;;;5094109;2679155;1694867;;;;;;
;5332988;3480020;1553405;;;4723346;2425533;2071963;;;4797845;3027517;2136290;;;;;;
;5023445;3563582;2103682;;;5378729;2760261;1267131;;;5532038;2427237;1798270;;;;;;
;4714093;3627763;1656397;;;4986800;3092922;1449819;;;5231106;2815926;2013425;;;;;;
;5402092;3180266;2207496;;;4619407;2472712;1657746;;;4956063;3171385;1223751;;;;;;
;6516715;3325438;1767468;;;5227987;2810147;1887565;;;5652213;2516405;1430722;;;;;;
;5517678;3420072;2326316;;;4830973;3178274;2110817;;;5359876;2910155;2205197;;;;;;
;6650363;3489006;1876113;;;5428053;2512084;1325912;;;5048884;3280679;1440811;;;;;;
;6242458;3191867;2423003;;;5039718;2870060;1513070;;;4756251;2657586;1647679;;;;;;
;5853374;3277062;1971983;;;4653445;3210480;1707154;;;5415592;3013157;1848345;;;;;;
;6780282;3342200;2527671;;;5283995;2547280;1895674;;;5117433;2345559;2419954;;;;;;
;6360139;3409399;2074442;;;4908739;2911231;2088890;;;4819299;2716071;2042167;;;;;;
;6019421;3479268;1627802;;;5496987;3240848;1286166;;;5521799;3109310;1253357;;;;;;
;4676150;3541820;2181922;;;5093106;2590692;1473451;;;5179635;2580301;1456524;;;;;;
;6219153;3656026;1714538;;;4746811;2973647;1662937;;;4875016;2949270;1783719;;;;;;
;5789885;3744160;2264877;;;5379815;3312622;1854391;;;5531278;3329331;2467785;;;;;;
;6935371;3840642;1824774;;;4983955;2711462;2068322;;;5175283;2722455;1699688;;;;;;
;6750823;3930489;2370770;;;4645248;3067001;1269818;;;4830458;3103015;1900775;;;;;;
;6315413;4016142;1910342;;;5248097;2477881;1481354;;;5489234;2497528;2091904;;;;;;
;6469902;3103048;2457804;;;4859684;2818641;1697812;;;5168506;2884522;1704156;;;;;;
;6171146;3216477;2007089;;;5451766;3147231;1940472;;;4849381;3222674;2165269;;;;;;
;5606503;3326438;1552546;;;5057189;2521497;2150494;;;5488098;2626936;1418391;;;;;;
;5857265;3423288;2102518;;;4674480;2879267;1357900;;;5148315;2973801;1610826;;;;;;
;7039998;3540589;1653677;;;5309369;3213788;1562883;;;4777467;3369918;2031811;;;;;;
;5004411;3666678;2199391;;;4918447;2546792;1743566;;;5461658;2759035;1827275;;;;;;
;5456854;3546664;2334564;;;5444355;2354321;2445633;;;5373234;3673352;1654327;;;;;;
Promedio;5872563,516;3437758,226;2047090,355;;Promedio;5066568,968;2851166,581;1735877,935;;Promedio;5198221,71;2904915,452;1830733,645;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
