;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
;61855130;29464301;15112524;;;52262698;28348008;13535228;;;58361983;31231734;14603959
;62550982;29675406;14480409;;;54893331;26176353;13703592;;;59567439;30418899;13975590
;62027978;29708699;14805147;;;53437293;26184459;13976735;;;62553566;31266793;13384439
;61243732;29835214;15134124;;;51355632;25345732;14234462;;;53472322;32346212;13236353
Promedio;62303768,97;29793853,13;15024807,32;;Promedio;52575046,39;26940697,16;13676651,84;;Promedio;62139066,65;29912303,32;14197722,32
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
2600;82617127;41460258;20832718;;2600;65508297;34693407;17011328;;2600;72517541;38876590;17941557
;82933075;41273724;21958782;;;65531638;33206067;16963119;;;79678868;40319012;17122794
;82642364;41195639;21159864;;;66819178;33617450;16133189;;;72889066;39860894;17295606
;82344302;41201368;20822259;;;66765798;33679037;16586583;;;79607067;36660588;17441768
;82864941;41175617;21691226;;;65901621;33651762;17474987;;;78928006;36559177;18022268
;81447478;41439134;21284838;;;66870108;35070587;17060147;;;82410619;39373673;17441223
;81442152;41552340;20395193;;;66634995;33239868;16239107;;;75705989;37490705;17937461
;81738588;41894500;20667909;;;66432461;33603205;16761576;;;73579023;36511892;17844786
;81628775;41401201;20973069;;;64693537;34427538;17276331;;;86031967;39357801;18197563
;82676142;41917810;20506721;;;66184028;33761306;16893516;;;83226913;39131381;17696393
;80895850;42842905;20989616;;;63697558;34063689;17404117;;;75125550;35787327;18756915
;82894843;41719491;20281607;;;66713556;33843003;16898742;;;81993804;37007424;19050503
;82221499;41876074;20348364;;;67265553;34343592;17351453;;;77454442;39495856;17497760
;82266262;41596006;20665095;;;67274572;33694312;17168696;;;81203506;39321446;18306324
;82503485;41357699;21103348;;;65988509;33249263;16997443;;;86840574;40327289;17742121
;83048751;41636912;20956667;;;64429405;34151291;16500155;;;84374850;38551809;17995193
;84433325;42254893;20460714;;;69803575;33272007;17356388;;;71614770;39536343;17308515
;84044160;42136169;20871098;;;67377521;32980135;16976702;;;78255693;38744452;17951197
;82240515;42044282;21374418;;;65012622;34149497;16241277;;;70628374;41586011;17961586
;81907995;41942328;20764054;;;64577238;33868572;16653930;;;75652812;40112396;17293923
;81552388;40726462;21380393;;;66519998;33390703;16716584;;;79689277;39826712;18191087
;82381186;41897501;20803824;;;65786502;33290288;17334251;;;76391745;35800136;17646489
;80262997;42528336;21089871;;;66427146;32745427;17416317;;;85840219;36172514;17981857
;83489380;41717725;20254078;;;67695686;33191401;17255630;;;73428838;36683345;17437007
;81090307;41919663;20607724;;;65941424;33957609;17020167;;;75127386;39630559;18092836
;82168278;42957331;20919284;;;68305476;33388796;16594386;;;74625441;37518109;17895598
;81543819;41142960;21299953;;;66495106;32904326;16879786;;;84520184;36928777;18468276
;82781310;40660174;20717731;;;65757722;35176874;17355257;;;80089303;38398996;17380663
;82716970;41373357;20805375;;;67551819;33188981;17211287;;;76999718;36091879;17876910
;81661012;41188355;21132507;;;65991707;34338391;16788208;;;83377064;35283095;17677899
;80245213;42368235;20943468;;;63235572;33523542;15622461;;;75423621;34564342;17435421
Promedio;82215628,68;41690272,55;20905218,32;;Promedio;66231933,16;33731029,87;16907842,58;;Promedio;78491362,26;38113242,9;17835145,13
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
2800;104622491;50682570;26585301;;2800;84878313;43228469;22949713;;2800;95882048;51160267;22095955
;104674328;51302007;26566417;;;86936589;42592783;21219116;;;99292681;49921913;21344958
;103991289;51137229;25966002;;;85932326;44744502;22046821;;;98214183;50138816;22211723
;102220290;51336118;25323098;;;85493705;44301905;21418587;;;99020097;48707416;21926845
;103123063;50642728;25878068;;;84887741;43273841;22252827;;;105289396;47475731;22957032
;104677017;51797817;26222645;;;88480777;42516808;21269681;;;102341832;48415105;22339671
;105357679;52395081;25869594;;;83558689;44388975;21417273;;;103717882;51169185;22896493
;104618947;51374557;26547887;;;82282980;43307325;21568938;;;106383260;47402818;22521513
;104352404;51433898;26233538;;;85561686;43369205;22002992;;;108709683;46628836;22189922
;105220126;51417279;25538218;;;84360757;43014584;20897983;;;103173879;48922729;22806070
;103713441;51627268;25916073;;;84842515;41683194;22496898;;;95970625;47913908;23752539
;107990179;51712109;26603243;;;89018983;44521447;21568893;;;93344610;48188564;22838895
;105623007;51915488;26022588;;;86842710;44536267;20902279;;;99073804;49783436;23634300
;106471308;50844844;25519457;;;86295456;43658189;21463184;;;96261700;50500276;22889725
;103501234;51543073;26016256;;;85114661;44353477;21697299;;;92930354;48961818;23246467
;105841429;51201522;26184329;;;85212734;44775530;21784240;;;107288744;46048293;23047550
;104495992;51315621;25908062;;;85964496;43788455;22227991;;;102377893;50497416;21944062
;104179200;51850699;26404935;;;84273327;44910291;21642336;;;102308874;51412832;22071531
;105549759;52161987;25429223;;;86790284;42921618;21384492;;;95346378;48718824;21879258
;105072877;51618719;25657611;;;87563217;45433128;21806088;;;96278704;46524446;22397036
;104907851;51810590;26185870;;;86374725;43635199;22079121;;;104368820;47525063;22592081
;105180047;52103899;25731712;;;87068679;45080397;21358673;;;93094499;48314023;23489806
;105026888;50501436;26513564;;;86221006;42472667;21910316;;;101472093;49725127;22632254
;105693108;51409435;26001578;;;86983448;43499284;22109484;;;101002327;47551408;22983220
;105122679;50297123;25474673;;;84436522;44647231;21844047;;;107675027;46961123;22143341
;104715026;51076030;25974779;;;85242001;43751786;21880373;;;108272937;47433368;22311443
;105440456;50588761;25013452;;;88429366;44023298;21884242;;;99169273;45818328;22773167
;103851765;52000098;25647576;;;84771724;43812448;22454195;;;94831221;49595186;22879479
;102241120;50696623;26306686;;;84489560;45491279;22186664;;;111564132;50382929;23631832
;103760050;51853658;25558234;;;90485006;42790793;21569379;;;98760187;49225266;22910782
;102416324;50234582;23452241;;;84523851;43474452;21354353;;;97463423;47874342;24462341
Promedio;104633915,3;51351059,65;25879126,13;;Promedio;85913478,52;43806413,77;21762854,13;;Promedio;100673566,6;48674154,58;22703267,45
